id,Text,image,,,
0,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : kitchen,dining , drawing  , balcony",resized_images\image_0.png,,,
79,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 0 | features : living room, dining, kitchen, balcony, terrace ,wardrobe, lobby, utility, servant room",resized_images\image_79.png,,,
83,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen, terrace , balcony , pooja , utility",resized_images\image_83.png,,,
90,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed, kitchen , terrace",resized_images\image_90.png,,,
92,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, wash, kitchen",resized_images\image_92.png,,,
97,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, balcony, kitchen",resized_images\image_97.png,,,
102,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 1 | features : drawing room, dining, kitchen, lobby,servant room ,rear",resized_images\image_102.png,,,
103,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed, kitchen",resized_images\image_103.png,,,
110,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony",resized_images\image_110.png,,,
112,"bedrooms : 4 | toilet : 4 | attached _ toilet : 3 | dress _ room : 0 | features : drawing room,dining, kitchen, balcony, passage",resized_images\image_112.png,,,
120,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed, kitchen, dry yard",resized_images\image_120.png,,,
122,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony, service",resized_images\image_122.png,,,
139,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, lobby, kitchen, balcony",resized_images\image_139.png,,,
145,"bedrooms : 2 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, store, kitchen, balcony,dining , utility",resized_images\image_145.png,,,
148,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : pooja,hall , kitchen, portico ,balcony",resized_images\image_148.png,,,
149,"bedrooms : 2 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen, dining",resized_images\image_149.png,,,
152,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen , utility, terrace",resized_images\image_152.png,,,
154,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 2 | features : drawing room, family room ,pooja,dining, kitchen, balcony , servant",resized_images\image_154.png,,,
157,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room, dining, kitchen, balcony",resized_images\image_157.png,,,
160,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen,balcony",resized_images\image_160.png,,,
162,"bedrooms : 3 | toilet : 3 | attached _ toilet : 3 | dress _ room : 0 | features : drawing room, dining, kitchen, balcony",resized_images\image_162.png,,,
169,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, pooja room,store,balcony",resized_images\image_169.png,,,
175,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, dining, kitchen",resized_images\image_175.png,,,
189,"bedrooms : 3 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, utility,balcony",resized_images\image_189.png,,,
191,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, dining, kitchen, family roon,pooja,store,foyer,wash,balcony",resized_images\image_191.png,,,
194,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, terrace , dry balcony",resized_images\image_194.png,,,
196,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features :hall, kitchen, balcony",resized_images\image_196.png,,,
198,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, balcony,washing ,sit out",resized_images\image_198.png,,,
200,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features :drawing room,dining, kitchen,balcony",resized_images\image_200.png,,,
202,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, utility , balcony",resized_images\image_202.png,,,
206,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room,wash ,balcony, kitchen",resized_images\image_206.png,,,
216,"bedrooms : 3 | toilet : 3 | attached _ toilet : 3 | dress _ room : 0 | features : drawing room, dining, kitchen, balcony",resized_images\image_216.png,,,
218,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room, balcony,kitchen",resized_images\image_218.png,,,
219,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, utility,balcony",resized_images\image_219.png,,,
220,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen ,balcony",resized_images\image_220.png,,,
222,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen, balcony",resized_images\image_222.png,,,
225,"bedrooms : 2 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room, kitchen, balcony",resized_images\image_225.png,,,
229,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed ,kitchen, utility,passage",resized_images\image_229.png,,,
244,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, flower bed kitchen balcony ,dry balcony",resized_images\image_244.png,,,
246,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen, wash",resized_images\image_246.png,,,
249,"bedrooms : 4 | toilet : 3 | attached _ toilet : 3 | dress _ room : 1 | features : living room, kitchen, balcony,lobby",resized_images\image_249.png,,,
266,"bedrooms : 3 | toilet : 3 | attached _ toilet : 3 | dress _ room : 0 | features : living,drawing room, dining, kitchen, balcony",resized_images\image_266.png,,,
268,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, dining, kitchen,utility ,sit out",resized_images\image_268.png,,,
270,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, terrace, kitchen,flower bed , service",resized_images\image_270.png,,,
271,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, deck,drawing,portico,store,utility,sit out,up",resized_images\image_271.png,,,
272,"bedrooms : 2 | toilet : 1 | attached _ toilet :0 | dress _ room : 0 | features : living room, balcony, kitchen",resized_images\image_272.png,,,
276,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 1 | features : living room, dining,drawing, kitchen, balcony,verandah,lobby,porch",resized_images\image_276.png,,,
280,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, passage , balcony",resized_images\image_280.png,,,
291,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : living room, pool, kitchen, deck, utility, dining",resized_images\image_291.png,,,
293,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen, flower bed,dry  balcony",resized_images\image_293.png,,,
303,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen,utility,terrace ,flower bed",resized_images\image_303.png,,,
305,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen, balcony, utility",resized_images\image_305.png,,,
307,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen, parking, garden",resized_images\image_307.png,,,
315,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : verandah, dining, kitchen",resized_images\image_315.png,,,
316,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, passage, kitchen, flower bed, terrace",resized_images\image_316.png,,,
320,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 1 | features : drawing room, dining, kitchen,entrance lobby, wardrobe,servant room,balcony,family  lounge,store",resized_images\image_320.png,,,
322,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, balcony, utility",resized_images\image_322.png,,,
323,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, balcony, kitchen, dining,terrace",resized_images\image_323.png,,,
331,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen,balcony",resized_images\image_331.png,,,
334,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining ,pooja, kitchen",resized_images\image_334.png,,,
336,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, balcony",resized_images\image_336.png,,,
340,"bedrooms : 4 | toilet : 4 | attached _ toilet : 3 | dress _ room : 2 | features : living room, dining, kitchen, family lounge, servant room,balcony",resized_images\image_340.png,,,
342,"bedrooms : 2 | toilet : 3 | attached _ toilet : 2 | dress _ room : 1 | features : drawing room, dining, kitchen,pooja,sit out, utility",resized_images\image_342.png,,,
346,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed ,kitchen",resized_images\image_346.png,,,
362,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : hall, dining, kitchen, service , balcony",resized_images\image_362.png,,,
371,"bedrooms : 4 | toilet : 4 | attached _ toilet : 4 | dress _ room : 2 | features : living room, dining, kitchen, foyer ,terrace, servant room, dry balcony",resized_images\image_371.png,,,
390,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, wash, balcony",resized_images\image_390.png,,,
399,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, kitchen, balcony",resized_images\image_399.png,,,
404,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : hall, dining, kitchen, wash ,sit out",resized_images\image_404.png,,,
406,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen,deck .family room,lobby,servant room , utlility",resized_images\image_406.png,,,
407,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, , kitchen, dining",resized_images\image_407.png,,,
410,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room,dining , kitchen,balcony ",resized_images\image_410.png,,,
411,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room , dining ,wash , kitchen , living room , porch",resized_images\image_411.png,,,
419,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen,  dining , balcony , utility",resized_images\image_419.png,,,
438,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : hall, kitchen, wash , passage",resized_images\image_438.png,,,
456,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, wash, balcony",resized_images\image_456.png,,,
458,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room,terrace, kitchen, lobby, passage, utility",resized_images\image_458.png,,,
460,"bedrooms : 2 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen , balcony",resized_images\image_460.png,,,
472,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room , flower bed, kitchen",resized_images\image_472.png,,,
474,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, balcony, utility",resized_images\image_474.png,,,
477,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, balcony , service balcony",resized_images\image_477.png,,,
491,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, utility , balcony",resized_images\image_491.png,,,
518,"bedrooms : 4 | toilet : 4 | attached _ toilet : 4 | dress _ room : 1 | features : drawing, Utility, room, dining, kitchen, family lounge, powder room, Balcony,  Terrace , pooja room , lobby , foyer",resized_images\image_518.png,,,
519,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 4 | features : living room, dining, kitchen, lobby,deck , utility , private elevator , powder room , passage , dry yard",resized_images\image_519.png,,,
525,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen , balcony",resized_images\image_525.png,,,
556,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room,dining, kitchen, Portico",resized_images\image_556.png,,,
557,"bedrooms : 2 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : living room, dining, kitchen, flower bed",resized_images\image_557.png,,,
564,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : hall, balcony, kitchen",resized_images\image_564.png,,,
566,"bedrooms : 2 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room, kitchen, balcony",resized_images\image_566.png,,,
589,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : lobby , kitchen",resized_images\image_589.png,,,
602,"bedrooms : 4 | toilet : 4 | attached _ toilet : 4 | dress _ room : 1 | features : drawing room, Drive Way, kitchen, lobby,foyer,Lounge Dining,Open Space,front lawn, rear lawn",resized_images\image_602.png,,,
630,"bedrooms :2  | toilet : 2 | attached _ toilet : 1 | dress _ room : 1 | features : living room, dining, kitchen, balcony  foyer ,utility",resized_images\image_630.png,,,
637,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : Kitchen Garden , Paved Area, Parking , Verandah,Living.dining room, Kitchen",resized_images\image_637.png,,,
638,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, Servant Room,Utility, Private Garden,Porch,lobby,store,powder room,parking",resized_images\image_638.png,,,
640,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, lobby, kitchen, balcony",resized_images\image_640.png,,,
650,"bedrooms : 3 | toilet : 3 | attached _ toilet : 3 | dress _ room : 2 | features : living room, dining, kitchen, lobby, washing area , belcony , study room, Entrance Lobby,Drawing Room",resized_images\image_650.png,,,
655,"bedrooms : 1 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed, kitchen, dry balcony , passage",resized_images\image_655.png,,,
661,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen, wash, store room",resized_images\image_661.png,,,
664,"bedrooms : 2 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, terrace, kitchen, balcony",resized_images\image_664.png,,,
677,"bedrooms : 4 | toilet : 4 | attached _ toilet : 4 | dress _ room : 1 | features : drawing room,dining Area,family lounge, kitchen, balcony, uti;ity , powder room",resized_images\image_677.png,,,
694,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, flower bed, kitchen, terrace",resized_images\image_694.png,,,
699,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, utility, lobby,balcony",resized_images\image_699.png,,,
720,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, passage, kitchen, balcony",resized_images\image_720.png,,,
724,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 1 | features : drawing room, kitchen, front lawn , rear lawn",resized_images\image_724.png,,,
739,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen",resized_images\image_739.png,,,
740,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, Utility, kitchen, Passage,dining",resized_images\image_740.png,,,
741,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen, balcony, terrace",resized_images\image_741.png,,,
742,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, kitchen, dining",resized_images\image_742.png,,,
773,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, kitchen, dining , balcony",resized_images\image_773.png,,,
776,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, kitchen , terrace",resized_images\image_776.png,,,
780,"bedrooms : 4 | toilet : 5 | attached _ toilet : 4 | dress _ room : 2 | features : living room, dining, kitchen, balcony , pooja , store , lobby , drawing , front lawn , rear lawn",resized_images\image_780.png,,,
803,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 1 | features : living room,drawing room , dining, kitchen, balcony , porch , powder room , utility",resized_images\image_803.png,,,
807,"bedrooms : 2 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen",resized_images\image_807.png,,,
812,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 2 | features : drawing room, dining, kitchen, balcony,front  lawn ,  rear lawn , parking , verandah",resized_images\image_812.png,,,
842,"bedrooms : 3 | toilet : 3 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, balcony, kitchen",resized_images\image_842.png,,,
848,"bedrooms : 4 | toilet : 4 | attached _ toilet : 3 | dress _ room : 0 | features : living room, dining, kitchen, pooja room , store , balcony",resized_images\image_848.png,,,
856,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, lobby, study room , balcony , utility , meshbal",resized_images\image_856.png,,,
866,"bedrooms : 1 | toilet : 1 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen, front lawn",resized_images\image_866.png,,,
872,"bedrooms : 3 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, passage, terrace",resized_images\image_872.png,,,
881,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room, dining, kitchen , wash, porch , parking , verandah , pooja , garden , store",resized_images\image_881.png,,,
885,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : drawing room, dining, kitchen, balcony",resized_images\image_885.png,,,
897,"bedrooms : 4 | toilet : 4 | attached _ toilet : 3 | dress _ room : 0 | features : drawing room, dining, kitchen, balcony, family lounge",resized_images\image_897.png,,,
909,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dry balcony, kitchen , terrace",resized_images\image_909.png,,,
915,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : living room, dining, kitchen",resized_images\image_915.png,,,
919,"bedrooms : 3 | toilet : 4 | attached _ toilet : 2 | dress _ room : 1 | features : drawing room,dining , lobby,servant room, lounge, kitchen, balcony",resized_images\image_919.png,,,
926,"bedrooms : 3 | toilet : 2 | attached _ toilet : 2 | dress _ room : 0 | features : drawing room, lobby, kitchen,front lawn , rear lawn",resized_images\image_926.png,,,
932,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining, kitchen, dry balcony ,utility , terrace",resized_images\image_932.png,,,
939,"bedrooms : 1 | toilet : 1 | attached _ toilet : 0 | dress _ room : 0 | features : drawing room ,dining , portico, kitchen",resized_images\image_939.png,,,
945,"bedrooms : 1 | toilet : 2 | attached _ toilet : 0 | dress _ room : 0 | features : living room, balcony , kitchen",resized_images\image_945.png,,,
974,"bedrooms : 2 | toilet : 2 | attached _ toilet : 1 | dress _ room : 0 | features : living room, dining ,kitchen, balcony",resized_images\image_974.png,,,
